index,orig,reasonIndex,reason,resultIndex,result,category1,category2
1,#1 生物学は，多くの種類の生き物のの分類や生理・発生などの複雑な現象の記載を中心に発展してきました。 #2 今から約50年前に，細菌からヒトにいたるまで #3 共通の分子の言葉を使って #4 生命現象を解き明かす「分子生物学」が流星のごとく登場しました。 #5 分子生物学の与えたインパクトは強烈で， #6 多くの点でそれまでの生物像を大きく塗り替えました。 #7 分子生物学は，個別の生命現象を分子のレベルで解析することには成功しましたが， #8 しかし残念なことに，そこからは生きた生物の姿が消えてしまいました。 #9 最も簡単な単細胞生物でさえ，その全体像を分子のレベルで理解することはできませんでした。 #10 このような状況のなか，乖離してしまった分子と生物とを融合させて， #11 生物の構造と機能の全体像を分子レベルで明らかにしようという新しい生物学が生まれつつあります。 #12 その融合を仲介するのが，ゲノム研究なのです。 #13 私は，ゲノム研究を基盤にした新しい生物学を「ネオ生物学」という名前でよびたいと考えました。,#10,このような状況のなか，乖離してしまった分子と生物とを融合させて，,#11,生物の構造と機能の全体像を分子レベルで明らかにしようという新しい生物学が生まれつつあります。,implicit,目的  
2,#1 ゲノムとは，個々の生物が細胞の核にもっている遺伝情報の総体をさします。 #2 普通の動植物の細胞は，雌雄の生殖細胞が融合した2倍体の核をもち， #3 性染色体以外は相同の染色体が対になっていますので， #4 そのうちの一組の性染色体を加えたものを「ゲノム」と定義します。 #5 ヒトの場合，22本の常染色体とX，Yの性染色体を合わせて， #6 ヒトゲノムといいます。 #7 このゲノムの上に，メンデル以来100年にわたって探求されつづけてきた「遺伝子」が乗っているのです。 #8 ヒトでは，ゲノムDNAのほぼ5％が遺伝子だといわれています。,#3,性染色体以外は相同の染色体が対になっていますので，,#4,そのうちの一組の性染色体を加えたものを「ゲノム」と定義します。,explicit,原因・理由  
3,#1 遺伝学が限られた数の遺伝子を研究してきたのに対して， #2 ゲノム研究はゲノムに書かれているすべての情報を解読することを目的としています。 #3 これは，ゲノムをになっている物質でもあるDNAの研究が急速に進んで， #4 DNAの構造であるA，T，G，Cの塩基配列を決定する技術が開発され， #5 ゲノム上にあるすべての遺伝子の構造だけでなく，遺伝子と遺伝子にはさまれた部分のDNAも，すべて塩基配列として読み取ることができるようになったからです。 #6 その結果， #7 大腸菌，酵母，ショウジョウバエ，ヒトといった，それぞれの生物に固有の遺伝情報のすべてが明らかになるのです。 #8 種を越えて #9 共通な情報と，種に特殊な情報とが明らかになるでしょう。 #10 ゲノムの構造が決定され， #11 そこにあるすべての遺伝子の構造が明らかになると， #12 次はひとつひとつの遺伝子のはたらきを明らかにするための挑戦が始まります。 #13 この情報の宝箱の中に，想像もしなかった新しい遺伝子が発見されるという期待と，全遺伝子がつくるタンパク質の総和によって試験管の中で細胞を構築し，あるいは #14 コンピュータの中でシミュレートするという夢を追い求めることができるようになるのです。,#4,DNAの構造であるA，T，G，Cの塩基配列を決定する技術が開発され，,#5,ゲノム上にあるすべての遺伝子の構造だけでなく，遺伝子と遺伝子にはさまれた部分のDNAも，すべて塩基配列として読み取ることができるようになったからです。,explicit,原因・理由  
7,#1 生物は遺伝子のはたらきでつくられます。 #2 生物をつくるためのすべての遺伝子情報のセットを「ゲノム」とよびます。 #3 部品と設計図といってもいいかもしれません。 #4 遺伝子の数は最近では4000，本書で紹介する線虫は1万ちょっと，ヒトやマウスでは5〜10万といわれています。 #5 大きな数のように思えますが， #6 これですべてのことをやっているのですから， #7 意外に少ないようにも思えます。 #8 自動車の部品でも全部で数万点ありますが， #9 小さな虫のほうがずっと高級です。 #10 虫は危険を察知して #11 さっさと逃げますが， #12 自動車ではまだまだそうはいきません。 #13 また，自己増殖するのが生物ですから， #14 部品だけではなく工具や工作機械，さらには工場も自前です。 #15 無限とも思える多くのことを生物はこなしているのですが， #16 実際のところは有限の数の遺伝情報でまかなわれているわけです。 #17 よほど巧妙な「しかけ」があるにちがいありません。,#6,これですべてのことをやっているのですから，,#7,意外に少ないようにも思えます。,explicit,原因・理由  
7,#1 生物は遺伝子のはたらきでつくられます。 #2 生物をつくるためのすべての遺伝子情報のセットを「ゲノム」とよびます。 #3 部品と設計図といってもいいかもしれません。 #4 遺伝子の数は最近では4000，本書で紹介する線虫は1万ちょっと，ヒトやマウスでは5〜10万といわれています。 #5 大きな数のように思えますが， #6 これですべてのことをやっているのですから， #7 意外に少ないようにも思えます。 #8 自動車の部品でも全部で数万点ありますが， #9 小さな虫のほうがずっと高級です。 #10 虫は危険を察知して #11 さっさと逃げますが， #12 自動車ではまだまだそうはいきません。 #13 また，自己増殖するのが生物ですから， #14 部品だけではなく工具や工作機械，さらには工場も自前です。 #15 無限とも思える多くのことを生物はこなしているのですが， #16 実際のところは有限の数の遺伝情報でまかなわれているわけです。 #17 よほど巧妙な「しかけ」があるにちがいありません。,#13,また，自己増殖するのが生物ですから，,#14,部品だけではなく工具や工作機械，さらには工場も自前です。,explicit,原因・理由  
9,#1 線虫の特色は，何といっても「全部見える」ことです。 #2 受精卵から成虫にいたる全発生過程を顕微鏡で見ることができるのです。 #3 体細胞の数はたった1000程度なのですが， #4 神経系，筋肉系，消化管，上皮など，動物としての基本的な体制をちゃんともっていて， #5 それこそ危険を察知して逃げまわります。 #6 これをたった300個の神経細胞でやりこなしているのです。 #7 どうやって情報処理しているのでしょうか。 #8 また，1個の受精卵が1000個の細胞へ，どうやって分化していくのでしょうか。 #9 顕微鏡下のドラマを眺めていると興味がつきることがありません。 #10 動物としては下等すぎるのではないかとも思えますが， #11 そうでもありません。 #12 遺伝子の配列はヒトともよく似ていますし， #13 ヒト遺伝子との交換が可能なものもあるくらいです。,#4,神経系，筋肉系，消化管，上皮など，動物としての基本的な体制をちゃんともっていて，,#5,それこそ危険を察知して逃げまわります。,implicit,原因・理由  
10,#1 「全部見える」ということは，科学的にはとても重要なことです。 #2 個々の現象をつねに全体の中に位置づけられるようになるからです。 #3 線虫の研究では，全細胞の分裂パターン，全神経の回路網といった全体像についての，とてつもなく大きな基盤情報が明らかにされ， #4 これらを軸に多くの研究者が情報を共有し #5 研究を進めてきました。 #6 そして，今年あるいは来年には大きな節目を迎えることになります。 #7 ゲノムの全塩基配列決定がほぼ完了するからです。 #8 どれだけの遺伝子があるのか #9 わかりますし，また #10 遺伝子発現パターンの解析も大きく進んでいます。 #11 これまではひとつひとつ工夫をこらして #12 遺伝子の解析を行なってきたのが，これからは様相がちがってくるはずです。 #13 「この現象はこれだけの遺伝子で実行されている」となると， #14 研究方法が変わってくるでしょう。 #15 まさに「1000個の細胞の織りなすシンフォニー」の楽譜を読みとることになるのです。 #16 それができた暁には，楽譜を少し変えてみて #17 どんな曲になるのか， #18 生命のシミュレーションが次のターゲットになるにちがい #19 ありません。,#13,「この現象はこれだけの遺伝子で実行されている」となると，,#14,研究方法が変わってくるでしょう。,explicit,原因・理由  
10,#1 「全部見える」ということは，科学的にはとても重要なことです。 #2 個々の現象をつねに全体の中に位置づけられるようになるからです。 #3 線虫の研究では，全細胞の分裂パターン，全神経の回路網といった全体像についての，とてつもなく大きな基盤情報が明らかにされ， #4 これらを軸に多くの研究者が情報を共有し #5 研究を進めてきました。 #6 そして，今年あるいは来年には大きな節目を迎えることになります。 #7 ゲノムの全塩基配列決定がほぼ完了するからです。 #8 どれだけの遺伝子があるのか #9 わかりますし，また #10 遺伝子発現パターンの解析も大きく進んでいます。 #11 これまではひとつひとつ工夫をこらして #12 遺伝子の解析を行なってきたのが，これからは様相がちがってくるはずです。 #13 「この現象はこれだけの遺伝子で実行されている」となると， #14 研究方法が変わってくるでしょう。 #15 まさに「1000個の細胞の織りなすシンフォニー」の楽譜を読みとることになるのです。 #16 それができた暁には，楽譜を少し変えてみて #17 どんな曲になるのか， #18 生命のシミュレーションが次のターゲットになるにちがい #19 ありません。,#11,これまではひとつひとつ工夫をこらして,#12,遺伝子の解析を行なってきたのが，これからは様相がちがってくるはずです。,implicit,原因・理由  
26,#1 では，線虫というのは，いったいどんな生物なのでしょうか。 #2 線虫の種類はたいへん多いのです。 #3 たとえば，寄生虫の回虫が線虫の仲間です。 #4 また，松枯れ病の原因である松食い虫に寄生するマツノザイセンチュウも仲間です。 #5 寄生虫ですから， #6 医学の1分野として古くから興味がもたれて研究されてきました。 #7 また，受精卵の発生が早く再現性が高いこと，細胞数が少ないことなどから，発生観察の材料として19世紀にはすでに研究されています。 #8 たとえば，ウマカイチュウの卵の研究から，生殖系の細胞と体細胞系の細胞との区別が発生初期に起きることや，体細胞系の細胞で染色体削減が見られることなど，発生学の古典的な研究が行なわれました。 #9 しかしその後，実験発生学は両生類を使って発展し， #10 遺伝学はショウジョウバエを使って発展したため， #11 生物学の材料として線虫は忘れられた存在になってしまいました。 #12 移植実験や再生実験ができなかったことや，その当時，線虫は寄生性のものが使われていたため， #13 遺伝解析には向かなかったからです。,#8,たとえば，ウマカイチュウの卵の研究から，生殖系の細胞と体細胞系の細胞との区別が発生初期に起きることや，体細胞系の細胞で染色体削減が見られることなど，発生学の古典的な研究が行なわれました。,#13,遺伝解析には向かなかったからです。,explicit,原因・理由  
26,#1 では，線虫というのは，いったいどんな生物なのでしょうか。 #2 線虫の種類はたいへん多いのです。 #3 たとえば，寄生虫の回虫が線虫の仲間です。 #4 また，松枯れ病の原因である松食い虫に寄生するマツノザイセンチュウも仲間です。 #5 寄生虫ですから， #6 医学の1分野として古くから興味がもたれて研究されてきました。 #7 また，受精卵の発生が早く再現性が高いこと，細胞数が少ないことなどから，発生観察の材料として19世紀にはすでに研究されています。 #8 たとえば，ウマカイチュウの卵の研究から，生殖系の細胞と体細胞系の細胞との区別が発生初期に起きることや，体細胞系の細胞で染色体削減が見られることなど，発生学の古典的な研究が行なわれました。 #9 しかしその後，実験発生学は両生類を使って発展し， #10 遺伝学はショウジョウバエを使って発展したため， #11 生物学の材料として線虫は忘れられた存在になってしまいました。 #12 移植実験や再生実験ができなかったことや，その当時，線虫は寄生性のものが使われていたため， #13 遺伝解析には向かなかったからです。,#10,遺伝学はショウジョウバエを使って発展したため，,#11,生物学の材料として線虫は忘れられた存在になってしまいました。,explicit,原因・理由  
